feature,correlation,abs_correlation
BidPrice4,-0.125103521193377,0.125103521193377
BidPrice3,-0.12508399745363058,0.12508399745363058
BidPrice2,-0.1250635889069749,0.1250635889069749
BidPrice5,-0.12500800981123633,0.12500800981123633
BidPrice1,-0.12497323560547846,0.12497323560547846
mid_price,-0.12493247552429515,0.12493247552429515
AskPrice1,-0.12488134160970907,0.12488134160970907
AskPrice2,-0.12468893834412778,0.12468893834412778
AskPrice3,-0.12335786472084766,0.12335786472084766
high_5min,-0.12319690806876057,0.12319690806876057
AskPrice4,-0.12108018633043818,0.12108018633043818
AskPrice5,-0.11730937900327705,0.11730937900327705
total_bid_volume,0.11553484292947529,0.11553484292947529
order_imbalance,0.08425571737319544,0.08425571737319544
BidVolume3,0.07057899776017533,0.07057899776017533
low_5min,0.06280134612125467,0.06280134612125467
BidVolume4,0.05944807905654703,0.05944807905654703
BidVolume1,0.05848563446340041,0.05848563446340041
BidVolume2,0.0576260752639431,0.0576260752639431
BidVolum5,0.05349678353306144,0.05349678353306144
price_position,0.039227198657609194,0.039227198657609194
LastPrice,0.03524127463665922,0.03524127463665922
total_ask_volume,-0.03490618301827797,0.03490618301827797
AskVolume3,-0.032817679198766235,0.032817679198766235
AskVolume4,-0.029191958578316173,0.029191958578316173
AskVolume2,-0.026834585179757228,0.026834585179757228
AskVolum5,-0.021442142170730934,0.021442142170730934
volatility_5min,-0.02053659555326973,0.02053659555326973
OrderBuyNum,0.02030346248732188,0.02030346248732188
sector_money_flow,0.01983956236352768,0.01983956236352768
money_flow_ratio,0.01848954162159963,0.01848954162159963
large_buy_flow,0.015032358690958874,0.015032358690958874
OrderBuyVolume,0.014190745029956849,0.014190745029956849
sector_volume_ratio,0.012916036969584876,0.012916036969584876
TradeBuyNum,0.012080756846208516,0.012080756846208516
OrderSellNum,-0.01125526963161961,0.01125526963161961
TradeBuyVolume,0.010988680552194865,0.010988680552194865
OrderSellVolume,-0.01083290018739325,0.01083290018739325
total_trade_volume,0.009025016648591433,0.009025016648591433
TradeBuyAmount,0.008714790841702211,0.008714790841702211
net_buy_amount,0.007155854785453619,0.007155854785453619
TradeSellNum,0.006034579605094024,0.006034579605094024
AskVolume1,0.003992010328983216,0.003992010328983216
TradeSellVolume,0.003814604891199493,0.003814604891199493
volume_ratio,0.0023992183257199803,0.0023992183257199803
TradeSellAmount,0.0011949843908466485,0.0011949843908466485
spread,-0.0006564077854660746,0.0006564077854660746
momentum_5min,0.0,0.0
momentum_1min,0.0,0.0
money_flow_momentum,0.0,0.0
volume_change_ratio,0.0,0.0
returns,0.0,0.0
order_imbalance_change,0.0,0.0
sector_momentum_5min,0.0,0.0
sector_momentum_1min,0.0,0.0
relative_strength_5min,0.0,0.0
relative_strength_1min,0.0,0.0
